 Óbitos infantis - Minas Gerais
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2024
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"316257 SAO JOAO DO MANTENINHA";1;-;2;-;3;4;-;-;-;-;-;-;2;-;1;-;1;1;-;-;1;-;-;-;2;1;2;1;2;24
"316260 SAO JOAO DO ORIENTE";3;6;7;2;1;4;6;2;-;2;1;2;1;1;-;-;-;-;-;2;-;2;1;2;2;-;1;1;-;49
"316265 SAO JOAO DO PACUI";-;-;-;-;2;-;1;-;-;1;3;2;-;1;-;3;-;1;-;-;2;1;2;2;1;-;-;-;2;24
"316270 SAO JOAO DO PARAISO";1;2;2;1;-;3;-;6;3;5;4;6;5;4;3;4;3;5;4;10;4;4;5;5;4;-;3;2;-;98
"316280 SAO JOAO EVANGELISTA";14;11;19;15;16;10;8;5;4;7;7;9;6;6;2;4;4;4;4;1;2;3;2;1;6;3;6;1;2;182
"316290 SAO JOAO NEPOMUCENO";10;4;11;15;6;12;9;6;11;8;6;6;6;5;7;6;5;4;5;3;4;4;8;4;4;3;3;2;2;179
"316292 SAO JOAQUIM DE BICAS";-;8;13;10;5;7;10;5;5;9;5;6;6;1;8;4;8;6;7;3;7;5;1;1;2;4;8;5;7;166
"316294 SAO JOSE DA BARRA";-;-;-;1;1;-;-;-;2;1;1;-;-;1;-;-;-;-;2;1;2;2;-;2;1;-;2;2;-;21
"316295 SAO JOSE DA LAPA";7;9;4;2;4;5;7;3;3;4;4;2;3;5;1;2;2;3;4;1;7;4;2;4;4;6;2;4;6;114
"316300 SAO JOSE DA SAFIRA";1;-;-;3;1;2;1;-;2;-;1;3;3;2;1;-;3;1;1;1;1;-;1;1;1;1;-;1;1;33
"316310 SAO JOSE DA VARGINHA";-;-;-;3;1;2;3;-;-;1;-;1;2;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;18
"316320 SAO JOSE DO ALEGRE";1;1;1;3;2;1;1;3;-;-;-;-;-;-;-;1;2;-;1;-;1;-;-;-;-;-;2;2;-;22
"316330 SAO JOSE DO DIVINO";1;1;-;-;2;1;-;2;-;2;-;1;2;-;-;1;1;1;-;-;-;-;-;1;-;-;1;-;-;17
"316340 SAO JOSE DO GOIABAL";6;2;5;1;2;2;5;5;1;2;4;-;1;-;1;1;3;1;-;-;-;2;-;1;-;-;-;1;1;47
"316350 SAO JOSE DO JACURI";6;3;2;1;4;5;3;1;3;2;3;3;4;4;1;3;2;1;1;1;2;-;-;-;2;-;-;2;1;60
"316360 SAO JOSE DO MANTIMENTO";-;-;1;-;-;1;1;-;1;-;-;-;1;1;2;-;2;-;-;-;-;-;-;-;-;-;-;-;1;11
"316370 SAO LOURENCO";20;16;18;21;16;12;6;10;8;11;14;8;10;5;3;6;7;5;2;8;6;8;4;6;5;5;3;4;1;248
"316380 SAO MIGUEL DO ANTA";-;-;1;5;3;2;1;2;1;-;2;1;-;1;2;-;1;-;-;1;-;1;1;2;2;-;-;1;1;31
"316390 SAO PEDRO DA UNIAO";1;2;3;2;-;1;-;4;-;-;1;-;-;2;1;-;-;1;1;-;1;2;1;2;-;1;-;-;-;26
"316400 SAO PEDRO DOS FERROS";12;2;5;3;1;-;1;4;2;-;3;6;2;2;-;-;3;2;1;1;-;1;1;2;1;-;1;-;-;56
"316410 SAO PEDRO DO SUACUI";2;-;-;-;-;3;-;1;2;1;1;4;-;-;-;-;-;2;1;-;-;1;2;2;-;-;1;-;-;23
"316420 SAO ROMAO";9;7;5;3;2;1;1;1;3;2;5;2;1;2;4;-;2;3;6;4;2;-;1;1;2;-;-;-;1;70
"316430 SAO ROQUE DE MINAS";1;2;-;1;-;3;-;-;1;-;2;3;-;1;-;2;-;-;1;1;-;1;1;1;2;1;1;-;1;26
"316440 SAO SEBASTIAO DA BELA VISTA";-;1;2;1;3;3;2;1;2;-;1;-;-;1;2;1;-;-;1;1;1;1;1;1;1;3;-;-;1;31
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;7
"316447 SAO SEBASTIAO DO ANTA";-;-;-;-;2;2;1;2;1;-;2;2;-;1;1;4;2;4;2;2;-;1;4;-;1;-;2;1;1;38
"316450 SAO SEBASTIAO DO MARANHAO";-;3;-;2;5;3;3;3;5;1;4;3;2;-;1;1;2;3;1;-;1;3;3;3;2;4;1;-;2;61
"316460 SAO SEBASTIAO DO OESTE";-;2;-;1;1;-;-;2;-;1;-;-;1;1;2;1;1;1;-;1;3;-;1;1;1;2;1;3;-;27
"316470 SAO SEBASTIAO DO PARAISO";28;17;25;30;20;17;13;10;18;14;26;19;12;9;13;13;9;10;14;9;5;5;12;14;12;8;8;8;6;404
"316480 SAO SEBASTIAO DO RIO PRETO";2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;1;-;-;-;1;-;-;-;1;9
"316490 SAO SEBASTIAO DO RIO VERDE";1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;6
"316500 SAO TIAGO";3;4;5;6;8;-;3;1;3;3;-;4;2;3;1;2;-;1;1;4;-;-;-;-;-;3;4;1;3;65
"316510 SAO TOMAS DE AQUINO";2;1;3;1;-;3;2;-;3;-;1;1;3;-;3;-;1;2;1;1;1;-;1;-;1;-;-;-;2;33
"316520 SAO THOME DAS LETRAS";1;2;2;-;1;3;3;2;2;1;2;-;1;1;2;1;-;1;-;1;-;-;2;-;-;-;1;-;1;30
"316530 SAO VICENTE DE MINAS";8;6;-;3;1;3;2;3;2;3;4;2;2;1;2;1;3;-;2;2;1;1;1;2;2;1;2;-;2;62
"316540 SAPUCAI-MIRIM";2;2;2;3;4;3;2;-;2;1;3;-;-;-;2;1;-;-;1;-;-;-;-;-;1;1;-;1;-;31
"316550 SARDOA";2;6;1;2;1;1;2;2;-;5;2;1;3;-;2;2;1;-;2;1;1;1;-;1;1;1;-;1;1;43
"316553 SARZEDO";-;10;6;8;6;2;7;3;7;6;2;5;3;3;2;5;3;6;2;7;7;5;4;3;8;2;4;9;1;136
"316555 SETUBINHA";-;-;1;-;-;-;3;6;5;8;12;10;6;6;8;2;6;3;3;3;1;5;4;2;2;1;-;1;1;99
"316556 SEM-PEIXE";-;2;-;1;-;1;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;10
"316557 SENADOR AMARAL";2;1;1;1;1;-;2;1;1;1;1;-;-;2;-;2;1;-;3;1;1;-;1;1;2;1;1;1;2;31
"316560 SENADOR CORTES";1;-;-;-;1;-;-;-;-;-;1;1;-;-;2;1;1;1;2;-;-;1;1;1;2;-;-;1;-;17
"316570 SENADOR FIRMINO";6;4;4;1;3;-;1;4;3;3;2;1;1;2;4;1;3;1;-;-;1;1;2;1;-;1;2;-;-;52
"316580 SENADOR JOSE BENTO";-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;6
"316590 SENADOR MODESTINO GONCALVES";-;1;-;1;2;2;2;1;-;-;-;-;1;3;2;1;1;-;-;1;-;-;-;-;1;-;3;1;-;23
"316600 SENHORA DE OLIVEIRA";3;1;3;2;1;1;-;1;1;2;2;1;-;1;1;1;1;1;1;-;-;3;1;1;-;2;2;-;-;33
"316610 SENHORA DO PORTO";-;-;2;2;3;2;2;1;1;4;-;-;1;1;2;1;1;-;1;2;2;-;-;1;-;-;-;-;-;29
"316620 SENHORA DOS REMEDIOS";2;2;2;2;3;1;2;1;1;3;6;-;1;1;1;1;1;1;-;-;-;1;1;1;2;2;1;1;-;40
"316630 SERICITA";6;6;4;5;3;5;4;1;4;2;7;4;3;2;3;1;-;1;-;2;2;-;1;-;1;1;-;3;1;72
"316640 SERITINGA";-;-;-;-;1;2;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;8
"316650 SERRA AZUL DE MINAS";5;3;2;3;1;7;1;2;3;3;2;2;2;1;1;2;2;-;2;3;2;-;1;-;1;1;-;4;-;56
"316660 SERRA DA SAUDADE";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316670 SERRA DOS AIMORES";6;3;12;-;2;1;2;3;6;5;3;4;5;1;-;-;2;2;1;1;-;1;1;1;1;1;2;1;2;69
"316680 SERRA DO SALITRE";3;5;2;8;5;3;1;1;3;1;3;2;4;-;2;-;3;1;-;2;1;2;2;2;4;2;1;1;4;68
"316690 SERRANIA";2;4;5;5;5;2;3;7;3;4;2;4;3;-;2;1;1;4;5;1;-;-;4;2;-;-;-;-;1;70
"316695 SERRANOPOLIS DE MINAS";-;-;1;-;1;2;-;1;1;1;1;-;-;2;1;-;-;1;1;3;-;-;-;1;3;1;-;-;-;21
"316700 SERRANOS";1;-;-;-;2;-;1;1;-;-;1;-;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"316710 SERRO";10;14;5;6;6;6;7;6;7;5;6;2;3;5;4;4;4;6;3;6;1;4;1;5;2;2;2;3;1;136
"316720 SETE LAGOAS";106;89;97;65;77;65;54;56;40;48;48;43;50;32;41;33;46;35;29;35;32;33;30;37;23;25;38;22;22;1351
"316730 SILVEIRANIA";1;1;2;2;1;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;1;15
"316740 SILVIANOPOLIS";3;1;1;1;3;-;-;1;2;1;-;1;1;2;1;1;-;-;2;1;1;-;2;-;-;-;1;1;-;27
"316750 SIMAO PEREIRA";-;-;2;1;-;1;4;-;-;-;-;3;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2;2;18
"316760 SIMONESIA";6;9;7;8;5;2;6;7;2;4;5;5;5;1;5;3;4;5;4;8;2;2;6;5;1;3;5;6;3;134
"316770 SOBRALIA";-;1;2;-;2;1;1;-;1;3;-;1;2;2;1;-;-;1;1;-;1;3;1;1;-;1;-;-;2;28
"316780 SOLEDADE DE MINAS";-;3;-;1;1;1;-;-;-;1;2;-;1;-;-;-;1;-;1;1;-;-;-;-;1;2;-;2;1;19
"316790 TABULEIRO";2;4;3;1;2;2;1;-;1;-;-;2;1;1;-;-;-;-;-;-;3;-;-;1;-;-;2;-;-;26
"316800 TAIOBEIRAS";15;26;31;17;18;8;15;11;9;10;7;7;9;6;7;3;5;2;2;2;5;10;3;4;1;3;8;6;5;255
"316805 TAPARUBA";-;-;-;-;1;1;2;2;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;9
"316810 TAPIRA";-;-;-;1;1;1;-;1;-;-;-;-;-;1;1;1;-;-;1;-;1;-;-;-;1;1;-;1;-;12
"316820 TAPIRAI";-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"316830 TAQUARACU DE MINAS";-;-;1;1;1;-;-;-;1;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;9
"316840 TARUMIRIM";7;6;7;3;8;5;1;1;5;3;5;1;2;2;2;5;-;3;3;1;1;1;1;3;1;2;1;2;1;83
"316850 TEIXEIRAS";3;5;9;3;5;9;3;1;4;3;1;4;-;1;1;1;1;-;1;-;-;1;-;2;1;-;1;-;3;63
"316860 TEOFILO OTONI";47;42;38;70;20;32;57;66;66;47;46;45;42;43;40;45;30;31;33;24;32;36;27;22;25;34;28;24;13;1105
"316870 TIMOTEO";27;23;23;15;36;25;29;20;22;17;18;12;16;19;19;18;13;15;11;14;12;4;6;5;8;8;5;2;11;453
"316880 TIRADENTES";8;2;-;-;-;2;1;1;2;3;-;1;3;3;1;1;-;1;2;-;2;1;-;-;1;1;-;-;-;36
"316890 TIROS";4;5;1;1;1;1;-;1;-;-;-;-;1;1;-;1;-;1;1;2;-;-;1;2;1;-;-;2;2;29
"316900 TOCANTINS";4;8;5;7;6;10;4;4;4;5;6;3;1;3;1;2;1;3;4;4;2;3;1;2;2;-;1;-;1;97
"316905 TOCOS DO MOJI";-;-;-;2;2;1;1;1;1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;12
"316910 TOLEDO";4;5;-;1;2;-;2;1;2;-;1;2;1;-;1;-;2;-;-;1;-;1;3;2;-;1;-;1;1;34
"316920 TOMBOS";2;5;2;3;5;2;1;3;3;1;3;2;-;1;2;1;-;-;-;-;1;1;-;2;2;-;1;1;2;46
"316930 TRES CORACOES";52;34;35;34;27;22;26;28;30;21;22;14;26;7;15;17;19;13;19;10;11;18;10;15;9;12;18;11;18;593
"316935 TRES MARIAS";3;7;7;6;10;6;4;4;6;8;4;5;5;4;2;3;2;9;5;8;2;4;2;2;5;2;5;-;1;131
"316940 TRES PONTAS";31;26;36;25;32;17;27;16;16;14;15;19;10;9;7;11;5;10;13;6;7;8;15;10;9;8;11;8;6;427
"316950 TUMIRITINGA";2;3;2;-;1;3;5;-;5;2;2;2;3;1;-;1;-;1;1;2;3;3;2;1;6;2;-;2;-;55
"316960 TUPACIGUARA";11;3;5;5;6;3;4;3;1;2;3;5;1;3;2;2;5;1;-;4;4;5;5;5;1;2;2;5;3;101
"316970 TURMALINA";5;8;4;4;5;9;1;1;3;6;8;5;4;2;7;4;2;3;1;2;1;2;2;2;4;3;1;2;3;104
"316980 TURVOLANDIA";2;1;3;4;2;1;1;1;-;1;1;-;1;-;5;1;1;1;1;1;2;1;-;1;2;-;-;1;2;37
"316990 UBA";44;42;39;40;25;33;27;31;26;25;27;21;25;25;16;15;17;10;15;15;11;20;8;9;15;14;16;11;14;636
"317000 UBAI";3;1;-;2;-;3;2;-;5;1;3;3;5;5;3;7;5;2;-;3;4;2;-;-;3;1;1;-;3;67
"317005 UBAPORANGA";4;4;3;4;1;6;3;-;-;6;1;2;1;5;-;2;1;3;4;4;-;1;2;4;3;2;2;2;1;71
"317010 UBERABA";86;87;98;66;73;58;60;50;53;68;53;47;41;43;39;58;42;50;44;51;38;42;43;61;40;44;48;37;36;1556
"317020 UBERLANDIA";126;109;115;129;122;98;80;83;89;106;112;99;94;110;95;91;76;76;95;83;102;87;97;96;74;78;72;87;87;2768
"317030 UMBURATIBA";-;-;-;-;-;-;2;1;-;1;2;1;-;-;2;1;-;-;1;2;-;1;1;1;1;2;-;1;-;20
"317040 UNAI";24;24;18;21;24;18;10;13;15;14;9;14;15;5;17;10;21;16;16;11;6;13;17;12;13;11;11;8;8;414
"317043 UNIAO DE MINAS";-;-;-;2;1;1;-;1;-;-;3;1;-;-;-;-;-;1;1;1;1;1;-;-;-;-;2;1;-;17
"317047 URUANA DE MINAS";-;1;-;1;-;1;-;-;1;1;-;1;1;-;-;-;2;-;1;-;2;1;-;-;-;1;-;1;-;15
"317050 URUCANIA";5;5;2;7;9;8;4;4;1;5;4;2;2;1;1;2;7;1;1;2;1;4;-;1;-;-;2;-;1;82
"317052 URUCUIA";2;-;3;-;3;2;1;4;4;3;1;2;3;4;8;2;-;1;2;5;1;2;1;-;2;-;2;1;1;60
"317057 VARGEM ALEGRE";-;1;1;4;2;7;1;4;4;2;5;1;2;-;2;1;3;-;1;1;1;1;1;1;-;-;-;-;1;47
"317060 VARGEM BONITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;1;-;-;-;2;1;-;8
"317065 VARGEM GRANDE DO RIO PARDO";-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;1;2;9
"317070 VARGINHA";44;27;47;35;21;35;31;30;24;14;21;22;16;11;9;12;12;16;14;24;19;19;21;14;17;20;23;22;15;635
"317075 VARJAO DE MINAS";-;1;3;-;-;2;1;4;-;1;1;2;-;1;3;1;3;1;1;3;1;1;2;3;1;-;1;2;4;43
"317080 VARZEA DA PALMA";13;19;15;12;23;9;5;6;15;7;8;6;9;5;14;4;4;13;4;5;8;2;8;2;4;4;7;5;1;237
"317090 VARZELANDIA";7;4;7;6;8;10;5;2;2;1;4;9;7;5;6;3;1;4;5;4;6;5;4;2;5;4;6;7;6;145
"317100 VAZANTE";2;6;7;1;2;4;1;-;2;1;2;4;3;3;3;4;3;4;2;5;4;6;2;5;3;5;2;2;1;89
"317103 VERDELANDIA";-;-;-;1;2;1;1;-;1;1;2;-;3;-;3;3;-;6;6;2;1;4;3;1;-;1;-;1;1;44
"317107 VEREDINHA";-;-;-;-;-;-;1;2;3;1;1;1;-;-;2;2;-;2;-;-;1;-;1;3;-;-;-;1;-;21
"317110 VERISSIMO";1;1;-;1;1;-;-;3;-;1;-;-;-;-;-;1;-;1;1;-;-;2;1;-;1;1;-;-;-;16
"317115 VERMELHO NOVO";-;3;2;2;1;2;-;-;1;2;2;1;-;1;1;2;1;2;-;4;-;2;1;1;1;-;-;3;1;36
"317120 VESPASIANO";62;55;59;38;35;31;34;22;27;26;13;24;16;12;28;11;19;25;17;17;15;24;27;13;20;17;26;17;21;751
"317130 VICOSA";9;9;27;34;27;20;21;16;17;16;21;11;11;12;18;19;6;7;9;11;8;12;8;13;9;4;5;7;9;396
"317140 VIEIRAS";-;-;-;-;1;1;-;1;1;1;-;-;2;-;1;-;2;-;-;1;1;-;-;-;-;-;-;-;-;12
"317150 MATHIAS LOBATO";-;-;-;-;1;1;-;1;1;1;2;1;-;2;5;1;-;-;2;-;1;-;-;2;-;1;-;-;-;22
"317160 VIRGEM DA LAPA";-;2;1;-;4;-;6;4;8;3;3;2;2;2;2;7;1;1;2;-;-;-;1;2;2;2;-;-;2;59
"317170 VIRGINIA";5;5;3;1;5;3;5;1;2;-;5;4;3;1;2;2;3;-;-;1;1;-;1;3;1;2;1;2;1;63
"317180 VIRGINOPOLIS";9;6;6;10;3;4;5;2;1;-;2;3;3;1;3;2;3;2;1;1;1;3;1;-;-;3;1;-;1;77
"317190 VIRGOLANDIA";-;2;2;-;-;-;-;1;1;2;1;2;2;-;2;1;1;-;1;-;-;1;1;-;-;-;2;3;1;26
"317200 VISCONDE DO RIO BRANCO";31;19;12;14;16;22;10;18;7;13;8;10;8;2;10;4;12;4;4;5;6;6;5;4;5;4;11;10;1;281
"317210 VOLTA GRANDE";1;4;2;1;1;1;1;1;1;2;2;1;-;-;-;1;1;-;2;-;1;1;1;1;1;-;-;2;-;29
"317220 WENCESLAU BRAZ";1;1;-;1;1;1;1;2;2;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;13
"Total";8019;7348;6839;6505;6258;5597;5113;5001;4680;4586;4349;3860;3836;3529;3336;3392;3313;3142;3029;3070;2912;2982;2889;2942;2582;2588;2672;2638;2486;119493
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
