 Óbitos infantis - Minas Gerais
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2024
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"310860 BRASILIA DE MINAS";9;5;13;9;7;8;11;4;1;14;5;14;5;8;8;7;4;6;4;4;4;4;3;7;9;8;3;4;1;189
"310870 BRAS PIRES";1;2;1;1;4;2;2;1;3;2;-;-;1;1;2;1;-;1;-;2;1;-;-;-;1;-;2;-;1;32
"310880 BRAUNAS";2;1;1;1;1;-;1;-;1;-;2;-;1;-;-;1;1;-;1;1;-;-;-;2;-;-;-;-;-;17
"310890 BRAZOPOLIS";6;5;10;5;2;8;3;4;4;3;4;2;4;4;2;3;2;2;-;-;2;4;1;1;2;1;2;2;-;88
"310900 BRUMADINHO";9;16;4;7;6;8;5;2;6;1;3;8;5;7;7;3;6;5;4;6;3;3;2;8;6;3;2;6;4;155
"310910 BUENO BRANDAO";2;7;5;2;3;3;5;5;5;1;-;-;3;-;1;-;-;-;1;2;2;1;-;1;-;1;1;-;1;52
"310920 BUENOPOLIS";4;3;2;2;5;5;2;5;2;2;2;3;2;4;2;-;4;2;-;1;2;1;3;4;2;1;1;3;1;70
"310925 BUGRE";-;-;3;-;-;4;1;-;1;-;1;-;-;-;-;1;-;-;-;-;3;-;-;1;1;-;-;1;-;17
"310930 BURITIS";5;4;3;7;3;6;8;7;7;9;9;9;8;4;4;5;8;8;2;4;3;3;2;4;4;2;1;7;3;149
"310940 BURITIZEIRO";9;15;16;15;8;17;11;6;22;14;5;12;14;9;10;3;7;10;6;3;7;4;7;4;6;1;4;3;3;251
"310945 CABECEIRA GRANDE";-;1;1;1;3;2;-;1;-;1;-;-;-;-;-;1;1;2;-;1;-;-;1;2;4;1;-;3;1;27
"310950 CABO VERDE";7;3;8;8;6;2;1;7;1;1;1;6;1;1;2;-;3;1;1;3;1;2;2;1;-;1;1;1;2;74
"310960 CACHOEIRA DA PRATA";2;-;2;2;-;1;2;-;-;-;-;1;-;-;-;1;1;-;-;-;-;1;1;1;1;-;-;-;-;16
"310970 CACHOEIRA DE MINAS";-;3;5;1;1;2;1;2;3;1;1;1;1;5;1;2;1;-;2;3;-;2;-;1;2;1;1;1;2;46
